지점,지점명,일시,평균기온(°C),일강수량(mm),일 최심적설(cm)
90,속초,2022-05-07,13.5,7.7,
90,속초,2022-05-08,12.5,0,
90,속초,2022-05-09,13.6,,
90,속초,2022-05-10,13.5,,
90,속초,2022-05-11,15.2,0,
90,속초,2022-05-12,14,,
90,속초,2022-05-13,12.1,0,
90,속초,2022-05-14,16,,
90,속초,2022-05-15,15.4,,
90,속초,2022-05-16,19.2,,
90,속초,2022-05-17,19.4,0,
90,속초,2022-05-18,23.5,0,
90,속초,2022-05-19,21.1,,
90,속초,2022-05-20,23.1,,
90,속초,2022-05-21,24.5,,
90,속초,2022-05-22,20,0,
90,속초,2022-05-23,18.6,,
90,속초,2022-05-24,24.6,,
90,속초,2022-05-25,22.4,0,
90,속초,2022-05-26,20.8,1.4,
90,속초,2022-05-27,19.7,0,
90,속초,2022-05-28,26.5,,
90,속초,2022-05-29,22.5,,
90,속초,2022-05-30,16.9,0,
90,속초,2022-05-31,20.9,,
90,속초,2022-06-01,20.7,,
90,속초,2022-06-02,21.3,,
90,속초,2022-06-03,19.1,0,
90,속초,2022-06-04,18.7,0,
90,속초,2022-06-05,17.5,14.1,
90,속초,2022-06-06,14.1,75.4,
90,속초,2022-06-07,13.6,2.8,
90,속초,2022-06-08,15.8,,
90,속초,2022-06-09,15.6,.1,
90,속초,2022-06-10,17.8,,
90,속초,2022-06-11,17.8,,
90,속초,2022-06-12,18.7,0,
90,속초,2022-06-13,18.4,0,
90,속초,2022-06-14,17.3,0,
90,속초,2022-06-15,14.8,9.2,
90,속초,2022-06-16,18.7,5.4,
90,속초,2022-06-17,23.6,,
90,속초,2022-06-18,24.6,.1,
90,속초,2022-06-19,23.9,,
90,속초,2022-06-20,24.5,,
90,속초,2022-06-21,22.2,,
90,속초,2022-06-22,22.3,,
90,속초,2022-06-23,21.3,54.8,
90,속초,2022-06-24,26.2,11.7,
90,속초,2022-06-25,29.8,,
90,속초,2022-06-26,26.4,19.9,
90,속초,2022-06-27,24.4,19.9,
90,속초,2022-06-28,29.4,.4,
90,속초,2022-06-29,27.1,.6,
90,속초,2022-06-30,22.1,34.3,
90,속초,2022-07-01,24.1,,
90,속초,2022-07-02,25.1,,
90,속초,2022-07-03,26.7,,
90,속초,2022-07-04,27.4,,
90,속초,2022-07-05,25.6,0,
90,속초,2022-07-06,25.6,0,
90,속초,2022-07-07,25.4,1.4,
90,속초,2022-07-08,28.3,0,
90,속초,2022-07-09,25.9,0,
90,속초,2022-07-10,24,1.3,
90,속초,2022-07-11,22.8,28.8,
90,속초,2022-07-12,21.7,3,
90,속초,2022-07-13,21.6,26.9,
90,속초,2022-07-14,22.1,0,
90,속초,2022-07-15,22.1,21.1,
90,속초,2022-07-16,22.8,.3,
90,속초,2022-07-17,23.1,,
90,속초,2022-07-18,24.4,,
90,속초,2022-07-19,24.7,.4,
90,속초,2022-07-20,26.2,.7,
90,속초,2022-07-21,21.2,87.2,
90,속초,2022-07-22,22.2,9.4,
90,속초,2022-07-23,22.9,12.1,
90,속초,2022-07-24,23.4,3.3,
90,속초,2022-07-25,23.6,,
90,속초,2022-07-26,23.9,0,
90,속초,2022-07-27,24.7,,
90,속초,2022-07-28,25,0,
90,속초,2022-07-29,25.5,,
90,속초,2022-07-30,26.2,0,
90,속초,2022-07-31,25,17.2,
90,속초,2022-08-01,25.4,6.1,
90,속초,2022-08-02,25.8,14.8,
90,속초,2022-08-03,29.5,.3,
90,속초,2022-08-04,28,11.3,
90,속초,2022-08-05,29.3,0,
90,속초,2022-08-06,30.2,,
90,속초,2022-08-07,28.8,.5,
90,속초,2022-08-08,27.8,21.4,
90,속초,2022-08-09,24.6,110.9,
90,속초,2022-08-10,23.6,24.9,
90,속초,2022-08-11,24.8,1.6,
90,속초,2022-08-12,25.8,,
90,속초,2022-08-13,24.9,.3,
90,속초,2022-08-14,25.7,20.5,
90,속초,2022-08-15,28.4,1.8,
90,속초,2022-08-16,25.9,25.3,
90,속초,2022-08-17,22.7,28.5,
90,속초,2022-08-18,23.7,,
90,속초,2022-08-19,24.8,0,
90,속초,2022-08-20,23.5,0,
90,속초,2022-08-21,23.3,,
90,속초,2022-08-22,24.4,.1,
90,속초,2022-08-23,23.5,0,
90,속초,2022-08-24,21.5,0,
90,속초,2022-08-25,21.8,.6,
90,속초,2022-08-26,23.9,,
90,속초,2022-08-27,21.5,0,
90,속초,2022-08-28,20.8,,
90,속초,2022-08-29,20.4,.1,
90,속초,2022-08-30,19,34.7,
90,속초,2022-08-31,19.5,20,
90,속초,2022-09-01,21,,
90,속초,2022-09-02,21.5,.9,
90,속초,2022-09-03,21.4,,
90,속초,2022-09-04,20.3,10.8,
90,속초,2022-09-05,18.7,119.4,
90,속초,2022-09-06,21.1,87.6,
90,속초,2022-09-07,22.8,,
90,속초,2022-09-08,21,,
90,속초,2022-09-09,19.9,,
90,속초,2022-09-10,20.9,,
90,속초,2022-09-11,21.9,.2,
90,속초,2022-09-12,21.7,,
90,속초,2022-09-13,22.1,,
90,속초,2022-09-14,22.6,3.5,
90,속초,2022-09-15,22.4,,
90,속초,2022-09-16,21.8,0,
90,속초,2022-09-17,22.9,0,
90,속초,2022-09-18,23,.6,
90,속초,2022-09-19,20,40.4,
90,속초,2022-09-20,15.9,.4,
90,속초,2022-09-21,16.6,,
90,속초,2022-09-22,17.6,,
90,속초,2022-09-23,19.3,0,
90,속초,2022-09-24,18.9,,
90,속초,2022-09-25,18,,
90,속초,2022-09-26,18.2,,
90,속초,2022-09-27,18.2,,
90,속초,2022-09-28,18.2,,
90,속초,2022-09-29,19.8,,
90,속초,2022-09-30,21.5,,
90,속초,2022-10-01,23.4,,
90,속초,2022-10-02,19.3,5,
90,속초,2022-10-03,18.7,16.7,
90,속초,2022-10-04,15.5,76.8,
90,속초,2022-10-05,12.1,68.2,
90,속초,2022-10-06,12.5,65,
90,속초,2022-10-07,11.9,38.2,
90,속초,2022-10-08,13.6,,
90,속초,2022-10-09,13.5,.5,
90,속초,2022-10-10,11.4,0,
90,속초,2022-10-11,12.8,,
90,속초,2022-10-12,13.7,,
90,속초,2022-10-13,14.7,,
90,속초,2022-10-14,15.6,,
90,속초,2022-10-15,16.8,,
90,속초,2022-10-16,16.7,0,
90,속초,2022-10-17,13.3,,
90,속초,2022-10-18,10,,
90,속초,2022-10-19,10.5,,
90,속초,2022-10-20,14,,
90,속초,2022-10-21,18.2,,
90,속초,2022-10-22,18.4,,
90,속초,2022-10-23,11.8,28.2,
90,속초,2022-10-24,7.9,37.5,
90,속초,2022-10-25,9.5,0,
90,속초,2022-10-26,11.9,,
90,속초,2022-10-27,14.8,34.3,
90,속초,2022-10-28,12.5,6.5,
90,속초,2022-10-29,11.3,.2,
90,속초,2022-10-30,11.9,0,
90,속초,2022-10-31,12.7,,
90,속초,2022-11-01,14.6,,
90,속초,2022-11-02,12.3,,
90,속초,2022-11-03,12.9,,
90,속초,2022-11-04,7,,
90,속초,2022-11-05,9.2,,
90,속초,2022-11-06,10.3,,
90,속초,2022-11-07,12.5,,
90,속초,2022-11-08,12.7,,
90,속초,2022-11-09,13.4,,
90,속초,2022-11-10,14.4,0,
90,속초,2022-11-11,14.1,0,
90,속초,2022-11-12,16.7,5.7,
90,속초,2022-11-13,11.7,9.6,
90,속초,2022-11-14,10.6,,
90,속초,2022-11-15,10.4,,
90,속초,2022-11-16,11.2,,
90,속초,2022-11-17,10.9,,
90,속초,2022-11-18,12.2,,
90,속초,2022-11-19,12.1,0,
90,속초,2022-11-20,11.2,,
90,속초,2022-11-21,13.4,,
90,속초,2022-11-22,10.6,4.2,
90,속초,2022-11-23,10.1,7.1,
90,속초,2022-11-24,9.6,,
90,속초,2022-11-25,14.5,0,
90,속초,2022-11-26,10.2,.3,
90,속초,2022-11-27,6.7,,
90,속초,2022-11-28,7.9,9.8,
90,속초,2022-11-29,10,1.7,
90,속초,2022-11-30,-2.1,,
90,속초,2022-12-01,-3.3,,
90,속초,2022-12-02,-1.2,,
90,속초,2022-12-03,4.4,0,
90,속초,2022-12-04,.4,,
90,속초,2022-12-05,-.3,,
90,속초,2022-12-06,1.4,,
90,속초,2022-12-07,5.6,,
90,속초,2022-12-08,6.2,,
90,속초,2022-12-09,5.9,,
90,속초,2022-12-10,3.9,,
90,속초,2022-12-11,3.8,,
90,속초,2022-12-12,4.5,0,
90,속초,2022-12-13,1.6,.7,
90,속초,2022-12-14,-6.9,,
90,속초,2022-12-15,-1.8,0,
90,속초,2022-12-16,-2.1,,
