date,avg_velo,weather,max_degree,min_degree,end
2018.1.1,29.4,맑음,4,-5,1
2018.1.2,27.7,구름조금,2,-4,
2018.1.3,27,구름조금,0,-7,
2018.1.4,27,구름많음,-1,-9,
2018.1.5,26.5,구름조금,2,-6,
2018.1.6,27.3,맑음,3,-7,
2018.1.7,29.6,구름많음,3,-6,
2018.1.8,27.3,눈,4,-1,
2018.1.9,26.9,눈,-1,-6,
2018.1.10,26.1,눈,-5,-10,
2018.1.11,26.5,맑음,-7,-14,
2018.1.12,26.2,눈,-5,-15,
2018.1.13,27,눈,-1,-7,
2018.1.14,29.2,흐림,5,-4,
2018.1.15,26.7,비,8,2,
2018.1.16,26.7,비,7,0,
2018.1.17,26.9,흐림,9,2,
2018.1.18,26.8,눈,5,0,
2018.1.19,26.2,구름조금,6,-3,
2018.1.20,26.9,흐림,7,-1,
2018.1.21,29.2,흐림,6,-4,
2018.1.22,26.8,눈,4,-5,
2018.1.23,26.8,맑음,-5,-15,
2018.1.24,26.7,맑음,-11,-16,
2018.1.25,26.6,구름조금,-10,-16,
2018.1.26,25.9,맑음,-11,-18,
2018.1.27,26.9,맑음,-4,-16,
2018.1.28,29.3,구름조금,-1,-9,
2018.1.29,27,맑음,-5,-12,
2018.1.30,24.7,눈,-1,-11,
2018.1.31,26.1,눈,0,-5,
2018.2.1,26.1,맑음,1,-9,
2018.2.2,25.7,맑음,4,-8,
2018.2.3,26,눈,-2,-10,
2018.2.4,28.8,맑음,-5,-13,
2018.2.5,26.3,맑음,-5,-12,
2018.2.6,26,맑음,-6,-13,
2018.2.7,25.7,맑음,-2,-13,
2018.2.8,25.6,맑음,2,-10,
2018.2.9,25.2,흐림,6,-5,
2018.2.10,26.2,흐림,3,-7,
2018.2.11,28.8,눈,-2,-10,
2018.2.12,25.2,눈,-2,-10,
2018.2.13,24.4,구름조금,4,-7,
2018.2.14,24.9,흐림,9,-1,
2018.2.15,28.9,구름조금,4,-4,
2018.2.16,28.1,구름조금,5,-6,
2018.2.17,30.1,맑음,1,-7,
2018.2.18,30.1,구름많음,5,-5,
2018.2.19,27.6,흐림,7,-2,
2018.2.20,26.3,흐림,6,-2,
2018.2.21,26.3,맑음,4,-5,
2018.2.22,26.3,눈,5,-4,
2018.2.23,25,눈,9,0,
2018.2.24,26.3,흐림,7,-1,
2018.2.25,28.8,구름조금,8,-1,
2018.2.26,26.3,흐림,10,-3,
2018.2.27,26.1,흐림,7,1,
2018.2.28,24.7,눈,8,2,
2018.3.1,27.9,눈,3,-4,
2018.3.2,26.6,구름조금,5,-7,
2018.3.3,27,비,16,0,
2018.3.4,28.7,비,12,8,
2018.3.5,26.5,비,11,1,
2018.3.6,26.4,구름조금,11,-1,
2018.3.7,26.6,비,11,2,
2018.3.8,26.3,비,10,3,
2018.3.9,26.2,흐림,10,1,
2018.3.10,26.5,흐림,10,1,
2018.3.11,28.9,흐림,12,3,
2018.3.12,27,흐림,16,2,
2018.3.13,26.5,흐림,19,5,
2018.3.14,26.3,구름많음,22,14,
2018.3.15,25.9,비,17,8,
2018.3.16,25.6,맑음,12,4,
2018.3.17,25.9,구름조금,14,1,
2018.3.18,28.6,비,13,5,
2018.3.19,26.5,비,10,6,
2018.3.20,26.3,구름많음,9,2,
2018.3.21,26.3,눈,5,1,
2018.3.22,26.4,흐림,12,1,
2018.3.23,25.9,흐림,13,2,
2018.3.24,26.3,흐림,13,4,
2018.3.25,28.9,흐림,17,5,
2018.3.26,26.8,흐림,18,5,
2018.3.27,26.5,흐림,20,8,
2018.3.28,26.3,흐림,19,9,
2018.3.29,26.2,흐림,21,12,
2018.3.30,25.5,흐림,22,10,
2018.3.31,26.3,흐림,20,9,
2018.4.1,28.8,흐림,19,12,
2018.4.2,26.8,흐림,24,15,
2018.4.3,26.1,비,21,15,
2018.4.4,26,비,18,10,
2018.4.5,25.1,비,10,7,
2018.4.6,25.2,비,9,3,
2018.4.7,25.9,눈,9,1,
2018.4.8,28.3,비,8,1,
2018.4.9,26.7,흐림,15,0,
2018.4.10,25.9,비,22,7,
2018.4.11,26.2,흐림,17,9,
2018.4.12,26.2,맑음,20,7,
2018.4.13,25.8,흐림,19,8,
2018.4.14,26,비,15,8,
2018.4.15,28.6,흐림,14,6,
2018.4.16,26.6,맑음,19,5,
2018.4.17,26.2,맑음,20,7,
2018.4.18,26.3,맑음,19,6,
2018.4.19,26.3,흐림,21,7,
2018.4.20,25.9,흐림,26,11,
2018.4.21,26.1,흐림,26,12,
2018.4.22,28.4,비,21,11,
2018.4.23,25.5,비,11,8,
2018.4.24,26.2,비,16,9,
2018.4.25,26,맑음,23,6,
2018.4.26,26,흐림,22,10,
2018.4.27,25.7,흐림,23,10,
2018.4.28,26,흐림,22,11,
2018.4.29,28.5,흐림,23,9,
2018.4.30,26.3,흐림,25,14,
2018.5.1,27.7,비,23,18,
2018.5.2,25.8,비,20,9,
2018.5.3,25.6,비,15,7,
2018.5.4,24.7,맑음,20,9,
2018.5.5,26.9,구름많음,25,12,
2018.5.6,28.1,비,21,15,
2018.5.7,27.7,구름많음,26,14,
2018.5.8,25.7,구름조금,23,12,
2018.5.9,26.1,맑음,22,9,
2018.5.10,26,흐림,21,11,
2018.5.11,25.7,흐림,21,12,
